2013-09-01 9367
2013-09-02 9420
2013-09-03 9415
2013-09-04 9343
2013-09-05 9196
2013-09-06 9392
2013-09-07 9144
2013-09-08 9448
2013-09-09 9449
2013-09-10 9388
2013-09-11 6438
2013-09-11 3020
2013-09-12 9355
2013-09-13 9346
2013-09-14 9415
2013-09-15 9405
2013-09-16 9415
2013-09-17 9350
2013-09-18 9336
2013-09-19 9275
2013-09-20 9430
2013-09-21 9335
2013-09-22 3318
2013-09-22 6032
2013-09-23 9343
2013-09-24 9423
2013-09-25 9568
2013-09-26 9296
2013-09-27 9322
2013-09-28 9500
2013-09-29 9263
2013-09-30 1
